5084,"Humboldt Harbor Entrance"
5097,"Russian Rivermouth"
5089,"Fort Cronkite/Rodeo Beach"
5013,Pacifica/Lindamar
76957,"Steamer Lane Overview"
4985,"Mussel Shoals (aka Little Rincon)"
4198,"Gold Coast Beachbreaks"
4896,Shitpipe
103685,"Bolsa Chica Overview"
4223,"HB Pier, Northside"
4874,"HB Pier, Southside"
58218,"HB Waterfront Overview"
4738,"Upper Trestles"
4740,"Lower Trestles"
4785,"Del Mar Rivermouth"
4784,"Del Mar Beachbreak"
4804,"Old Man's/Tourmaline"
4255,"Imperial Pier NS"
4256,"Imperial Pier SS"
8002,"Seaforth Left Point"
8004,"Seaforth Right Point"
72786,"Covert Park Beach"
72800,"Promontory Point/57th Street Beach"
72888,"Edgewater/Pinched Loaf"
5173,"The WoodenJetty"
5579,"26th to 30th Street Pier"
5583,"Trestles/The Rocks"
5208,Croatan/Pendelton
5239,"Old Station (Laundromats)"
5255,"Iron Steamer"
94737,"Bogue Inlet Pier"
5251,"Figure Eight and Shell Islands"
5291,"The Pier/Windjammer"
5292,"Bert's Bar"
5273,"South Tybee Sandbars"
5261,"Harbor Marker Buoys"
5320,"Huguenot Park (North Jetty)"
5319,"Blue Roofs"
5308,"Anastasia Park (The Entrance)"
5334,"Butteheim Park"
58433,"Sunglow Pier North"
5330,"Sunglow Pier"
5350,"Vero Pier"
69865,"Bathtub Beach"
5611,"Juno Pier"
5599,"Charlie's Crab"
5379,"Hilton Hotel Backyard"
5388,"Haulover Inlet (North Jetty)"
5389,"Haulover Inlet (South Jetty)"
5441,"Redington Breakwater"
5442,"Redington Pier"
5445,"Upham Beach Park"
5447,"Twin Piers"
5448,"Coquina Jetties"
5468,"Doctor's Pass (South Jetty)"
5430,"Pickens Point Dunes"
5418,HMO's
5416,"Old Crystal Pier"
5409,"Bud and Alley's"
5408,"Inlet Beach Pier"
5756,"J.P. Luby Surf Park"
5772,"Isla Blanca State Park"
5523,"Ha'Ena Bay (Cannons/Tunnels)"
10833,Velzyland
10846,Ma'ili
10818,"Peahi (Jaws)"
5520,"Big Beach - Little Beach"
10859,"Kaiolohia Bay/Shipwreck Beach"
58778,Popotia
58789,"Cantamar Settlement"
58801,"Mirador Viewpoint"
6087,"Todos Santos / Killers"
58838,"Cannery Stacks"
50876,Cribbar
49652,"La Mauvaise Greve"
26882,"Right Side and Left Side"
26884,"Threes and Red Buoy"
